customer_id,recency,frequency,monetary,r_score,f_score,m_score,fm_score,rfm_segment
1000,330,0.2,306.22,4,3,2,3,Potential Loyalists
1001,548,0.097560976,1009.46,3,2,5,4,Loyal Customers
1002,1828,1,41.98,1,3,1,2,Hibernating
1003,1813,0.5,793.47,1,3,5,4,Cant Lose Them
1004,558,0.1,596.25,3,2,4,3,Potential Loyalists
1005,580,0.2,432.24,3,3,3,3,Potential Loyalists
1007,1748,1,196.12,1,3,1,2,Hibernating
1008,294,0.057692308,357.18,4,1,2,2,Potential Loyalists
1009,1040,0.4,1288.17,2,3,5,4,At Risk
1010,504,0.095238095,772.78,3,2,4,3,Potential Loyalists
1011,1743,1,162.6,1,3,1,2,Hibernating
1013,986,0.285714286,644.18,2,3,4,4,At Risk
1014,927,1,47.95,2,3,1,2,Customers Needing Attention
1015,1401,0.428571429,588.95,1,3,4,4,Cant Lose Them
1016,1000,0.083333333,489.72,2,2,3,3,Customers Needing Attention
1019,364,0.4,495,4,3,3,3,Potential Loyalists
1020,944,0.095238095,438.22,2,2,3,3,Customers Needing Attention
1022,1352,1,290.54,1,3,2,3,At Risk
1023,257,1,134.58,4,3,1,2,Potential Loyalists
1024,408,0.041666667,363.77,4,1,2,2,Potential Loyalists
1025,818,0.129032258,739,2,2,4,3,Customers Needing Attention
1026,315,1,455.79,4,3,3,3,Potential Loyalists
1029,1628,1,474.91,1,3,3,3,At Risk
1030,81,0.071428571,662.25,5,1,4,3,Loyal Customers
1031,917,0.166666667,966.27,2,3,5,4,At Risk
1033,25,0.06,713.27,5,1,4,3,Loyal Customers
1034,105,1,36.51,5,3,1,2,Potential Loyalists
1035,1092,1,433.12,2,3,3,3,Customers Needing Attention
1036,578,0.25,350.4,3,3,2,3,Potential Loyalists
1037,436,1,205.43,4,3,1,2,Potential Loyalists
1038,1754,1,54.62,1,3,1,2,Hibernating
1039,958,1,422.51,2,3,3,3,Customers Needing Attention
1041,43,0.073170732,845.42,5,1,5,3,Loyal Customers
1042,100,0.111111111,529.39,5,2,4,3,Loyal Customers
1043,107,0.053571429,926.51,5,1,5,3,Loyal Customers
1044,809,1,153.44,2,3,1,2,Customers Needing Attention
1045,968,1,202.39,2,3,1,2,Customers Needing Attention
1046,185,0.088235294,909.76,5,2,5,4,Champions
1048,720,1,174.97,3,3,1,2,Customers Needing Attention
1049,702,1,444.13,3,3,3,3,Potential Loyalists
1050,287,0.235294118,1296.2,4,3,5,4,Loyal Customers
1052,293,1,301.85,4,3,2,3,Potential Loyalists
1054,700,1,252.85,3,3,2,3,Potential Loyalists
1056,1345,1,111.59,1,3,1,2,Hibernating
1057,140,0.069767442,1155.16,5,1,5,3,Loyal Customers
1058,120,1,289.14,5,3,2,3,Loyal Customers
1059,451,0.08,457.44,4,2,3,3,Potential Loyalists
1060,52,0.069767442,1012.2,5,1,5,3,Loyal Customers
1061,1412,1,417.36,1,3,3,3,At Risk
1063,334,0.0625,810.16,4,1,5,3,Potential Loyalists
1065,739,1,62.35,3,3,1,2,Customers Needing Attention
1066,263,0.066666667,959.77,4,1,5,3,Potential Loyalists
1068,226,1,16.29,4,3,1,2,Potential Loyalists
1069,1442,1,168.92,1,3,1,2,Hibernating
1070,47,0.108695652,1712.76,5,2,5,4,Champions
1071,692,1,43.25,3,3,1,2,Customers Needing Attention
1072,592,0.044444444,619.69,3,1,4,3,Potential Loyalists
1074,477,1,455.81,3,3,3,3,Potential Loyalists
1076,806,0.060606061,594.65,2,1,4,3,Customers Needing Attention
1078,160,0.137931034,958.35,5,3,5,4,Champions
1079,1290,0.222222222,964.52,1,3,5,4,Cant Lose Them
1080,1239,1,104.11,1,3,1,2,Hibernating
1081,789,1,398.97,2,3,3,3,Customers Needing Attention
1082,206,1,38.62,5,3,1,2,Potential Loyalists
1083,1140,0.130434783,1114.91,2,2,5,4,At Risk
1084,619,0.166666667,843.29,3,3,5,4,Loyal Customers
1085,461,0.096774194,840.18,4,2,5,4,Loyal Customers
1086,250,0.071428571,748.03,4,1,4,3,Potential Loyalists
1087,1880,1,274.57,1,3,2,3,At Risk
1088,1438,1,180.44,1,3,1,2,Hibernating
1090,372,1,447.4,4,3,3,3,Potential Loyalists
1091,202,0.069767442,646.11,5,1,4,3,Loyal Customers
1092,938,0.0625,471.25,2,1,3,2,Customers Needing Attention
1093,540,0.083333333,666.96,3,2,4,3,Potential Loyalists
1095,1098,0.285714286,554.34,2,3,4,4,At Risk
1096,16,0.065217391,662.7,5,1,4,3,Loyal Customers
1097,573,0.068965517,520.68,3,1,3,2,Customers Needing Attention
1099,402,0.051282051,313.27,4,1,2,2,Potential Loyalists
1100,154,0.147058824,966.72,5,3,5,4,Champions
1102,327,0.133333333,471.62,4,2,3,3,Potential Loyalists
1103,162,0.069767442,554.76,5,1,4,3,Loyal Customers
1104,900,0.0625,661.64,2,1,4,3,Customers Needing Attention
1105,1387,0.166666667,758.3,1,3,4,4,Cant Lose Them
1106,619,0.051282051,485.16,3,1,3,2,Customers Needing Attention
1107,23,0.054054054,287.36,5,1,2,2,Potential Loyalists
1108,772,0.375,767.47,3,3,4,4,Loyal Customers
1109,748,1,283.58,3,3,2,3,Potential Loyalists
1110,247,0.074074074,626.76,4,1,4,3,Potential Loyalists
1111,459,1,137.78,4,3,1,2,Potential Loyalists
1112,92,0.060606061,786.22,5,1,4,3,Loyal Customers
1113,1942,1,86.26,1,3,1,2,Hibernating
1114,359,0.083333333,987.28,4,2,5,4,Loyal Customers
1115,903,0.1,556.51,2,2,4,3,Customers Needing Attention
1116,1066,0.3,643.88,2,3,4,4,At Risk
1118,747,0.083333333,838.67,3,2,5,4,Loyal Customers
1119,1489,0.2,853.4,1,3,5,4,Cant Lose Them
1120,722,1,458.45,3,3,3,3,Potential Loyalists
1121,800,0.25,643.33,2,3,4,4,At Risk
1122,313,1,319.45,4,3,2,3,Potential Loyalists
1124,1418,0.166666667,219.32,1,3,2,3,At Risk
1126,761,1,241.14,3,3,2,3,Potential Loyalists
1127,823,0.086956522,535.2,2,2,4,3,Customers Needing Attention
1128,402,1,111.59,4,3,1,2,Potential Loyalists
1129,925,0.4,567.02,2,3,4,4,At Risk
1130,308,0.135135135,1100.12,4,3,5,4,Loyal Customers
1131,1472,1,222.82,1,3,2,3,At Risk
1132,114,0.103448276,2054.37,5,2,5,4,Champions
1133,1278,1,309.63,1,3,2,3,At Risk
1135,634,0.095238095,448.59,3,2,3,3,Potential Loyalists
1136,105,0.055555556,829.66,5,1,5,3,Loyal Customers
1137,14,0.048780488,207.56,5,1,1,1,Recent Customers
1138,431,0.090909091,1241.24,4,2,5,4,Loyal Customers
1139,822,0.181818182,241.65,2,3,2,3,Customers Needing Attention
1140,553,1,326.07,3,3,2,3,Potential Loyalists
1141,443,0.096774194,633.32,4,2,4,3,Potential Loyalists
1142,950,0.105263158,713.73,2,2,4,3,Customers Needing Attention
1143,816,1,169.48,2,3,1,2,Customers Needing Attention
1144,453,0.1,464.01,4,2,3,3,Potential Loyalists
1145,892,0.086956522,480.87,2,2,3,3,Customers Needing Attention
1146,71,1,99.49,5,3,1,2,Potential Loyalists
1147,1400,0.222222222,444.52,1,3,3,3,At Risk
1148,1596,1,156.78,1,3,1,2,Hibernating
1149,664,1,187.49,3,3,1,2,Customers Needing Attention
1151,558,0.153846154,649.37,3,3,4,4,Loyal Customers
1152,113,0.073170732,787.97,5,1,5,3,Loyal Customers
1154,915,1,354.39,2,3,2,3,Customers Needing Attention
1155,857,0.111111111,420.7,2,2,3,3,Customers Needing Attention
1157,566,0.137931034,1159.57,3,3,5,4,Loyal Customers
1158,53,1,254.9,5,3,2,3,Loyal Customers
1159,1113,0.105263158,711.07,2,2,4,3,Customers Needing Attention
1160,1373,1,471.96,1,3,3,3,At Risk
1161,136,1,24.49,5,3,1,2,Potential Loyalists
1162,1459,1,165.72,1,3,1,2,Hibernating
1163,1415,1,64.19,1,3,1,2,Hibernating
1164,150,0.057142857,802.91,5,1,5,3,Loyal Customers
1167,1936,1,157.7,1,3,1,2,Hibernating
1168,1436,0.285714286,607.94,1,3,4,4,Cant Lose Them
1169,671,1,17.22,3,3,1,2,Customers Needing Attention
1170,455,0.071428571,1209.98,4,1,5,3,Potential Loyalists
1171,976,1,218.86,2,3,2,3,Customers Needing Attention
1172,1869,1,242.53,1,3,2,3,At Risk
1173,891,0.2,319.55,2,3,2,3,Customers Needing Attention
1174,11,0.053571429,597.65,5,1,4,3,Loyal Customers
1175,1825,1,224.39,1,3,2,3,At Risk
1176,286,0.075,798.93,4,1,5,3,Potential Loyalists
1178,468,0.125,548.12,4,2,4,3,Potential Loyalists
1180,72,1,335.45,5,3,2,3,Loyal Customers
1181,154,0.053571429,1340.98,5,1,5,3,Loyal Customers
1182,73,0.06,1319.07,5,1,5,3,Loyal Customers
1183,477,0.2,567.63,3,3,4,4,Loyal Customers
1185,87,0.117647059,517.73,5,2,3,3,Loyal Customers
1186,127,1,826.47,5,3,5,4,Champions
1187,150,0.068965517,677.1,5,1,4,3,Loyal Customers
1188,746,0.086956522,664.07,3,2,4,3,Potential Loyalists
1189,1031,0.4,547.62,2,3,4,4,At Risk
1190,350,0.111111111,97.73,4,2,1,2,Potential Loyalists
1193,61,0.666666667,219.91,5,3,2,3,Loyal Customers
1194,43,0.079365079,1236.98,5,2,5,4,Champions
1195,1179,1,171.55,2,3,1,2,Customers Needing Attention
1196,570,0.076923077,344.38,3,1,2,2,Customers Needing Attention
1197,134,0.102564103,716.85,5,2,4,3,Loyal Customers
1198,1274,1,450.11,1,3,3,3,At Risk
1199,394,0.12,680.67,4,2,4,3,Potential Loyalists
1200,220,0.065217391,531.64,4,1,4,3,Potential Loyalists
1201,1528,1,22.74,1,3,1,2,Hibernating
1202,567,0.086956522,632.15,3,2,4,3,Potential Loyalists
1204,1733,1,315.12,1,3,2,3,At Risk
1205,1715,1,178.05,1,3,1,2,Hibernating
1206,394,0.176470588,780.77,4,3,4,4,Loyal Customers
1208,1820,1,35.4,1,3,1,2,Hibernating
1209,903,0.088235294,556.7,2,2,4,3,Customers Needing Attention
1210,733,1,53.81,3,3,1,2,Customers Needing Attention
1211,424,1,59.55,4,3,1,2,Potential Loyalists
1212,596,0.1875,972.19,3,3,5,4,Loyal Customers
1213,566,0.08,398.13,3,2,3,3,Potential Loyalists
1215,1424,1,156.42,1,3,1,2,Hibernating
1216,284,0.038461538,375.43,4,1,2,2,Potential Loyalists
1217,426,0.06122449,540.29,4,1,4,3,Potential Loyalists
1218,174,0.166666667,481.09,5,3,3,3,Loyal Customers
1220,360,0.2,803.12,4,3,5,4,Loyal Customers
1221,845,0.4,630.35,2,3,4,4,At Risk
1222,442,1,415.6,4,3,3,3,Potential Loyalists
1223,685,1,393.4,3,3,3,3,Potential Loyalists
1224,1699,1,280.6,1,3,2,3,At Risk
1225,1154,0.125,425.16,2,2,3,3,Customers Needing Attention
1226,1906,1,324.4,1,3,2,3,At Risk
1227,727,0.12,845.53,3,2,5,4,Loyal Customers
1228,871,1,139.58,2,3,1,2,Customers Needing Attention
1229,1130,1,335.26,2,3,2,3,Customers Needing Attention
1231,965,0.095238095,539.51,2,2,4,3,Customers Needing Attention
1232,538,0.129032258,1310.19,3,2,5,4,Loyal Customers
1233,1184,1,337.68,2,3,2,3,Customers Needing Attention
1234,545,0.095238095,311.93,3,2,2,2,Customers Needing Attention
1235,1123,0.166666667,655.28,2,3,4,4,At Risk
1236,854,1,276.09,2,3,2,3,Customers Needing Attention
1237,208,0.111111111,875.25,4,2,5,4,Loyal Customers
1238,90,1,150.53,5,3,1,2,Potential Loyalists
1241,477,1,484.81,3,3,3,3,Potential Loyalists
1242,716,1,242.54,3,3,2,3,Potential Loyalists
1244,206,0.074074074,851.11,5,1,5,3,Loyal Customers
1245,311,1,207.05,4,3,1,2,Potential Loyalists
1249,655,0.1,884.15,3,2,5,4,Loyal Customers
1250,165,1,346.64,5,3,2,3,Loyal Customers
1251,1100,1,364,2,3,2,3,Customers Needing Attention
1252,981,1,115.02,2,3,1,2,Customers Needing Attention
1253,335,0.4,645.49,4,3,4,4,Loyal Customers
1254,442,1,167.23,4,3,1,2,Potential Loyalists
1255,11,0.065217391,828.09,5,1,5,3,Loyal Customers
1256,598,0.12,836.42,3,2,5,4,Loyal Customers
1257,991,1,80.56,2,3,1,2,Customers Needing Attention
1258,310,1,179.07,4,3,1,2,Potential Loyalists
1259,569,1,372.78,3,3,2,3,Potential Loyalists
1260,164,0.235294118,882.19,5,3,5,4,Champions
1261,1367,1,314.71,1,3,2,3,At Risk
1262,4,0.075471698,1016.08,5,1,5,3,Loyal Customers
1263,1010,0.103448276,651.13,2,2,4,3,Customers Needing Attention
1264,174,0.172413793,1573.45,5,3,5,4,Champions
1265,581,0.133333333,656.17,3,2,4,3,Potential Loyalists
1266,22,0.131578947,1212.98,5,2,5,4,Champions
1267,1686,1,263.63,1,3,2,3,At Risk
1268,296,0.068181818,481.23,4,1,3,2,Potential Loyalists
1269,1339,1,347.97,1,3,2,3,At Risk
1272,454,0.097560976,1411.33,4,2,5,4,Loyal Customers
1273,555,0.192307692,1226.73,3,3,5,4,Loyal Customers
1274,1797,1,111.91,1,3,1,2,Hibernating
1275,1109,1,448.9,2,3,3,3,Customers Needing Attention
1276,462,0.052631579,579.72,4,1,4,3,Potential Loyalists
1277,866,0.214285714,1033.28,2,3,5,4,At Risk
1278,1288,0.2,715.9,1,3,4,4,Cant Lose Them
